队伍名称,共计,名额1,名额2,赛站志愿1,赛站志愿2,赛站志愿3,赛站志愿4,赛站志愿5,赛站志愿6,赛站志愿7
sorrytarjen,,4,9,武汉,沈阳,上海,成都,西安,香港,
我队友呢？没盖亚了还能关注盖亚吗？谢谢喵！,,3（队长名额）,5,武汉,成都,,,,,
test_update_name,,6,13,,,,,,,
归墟终帆,,7,14,,,,,,,
糖果酱,,8,17,,,,,,,
stick16,,10,19,,,,,,,
铖烧招零缺一三,,11,23,沈阳,上海,西安,武汉,成都,香港,南京
过去香香软软的我已经死了,,12,24,,,,,,,
和平讨论不带节奏,,2（队长名额）,15,,,,,,,
黄叶换秋色,,16,27,,,,,,,
再过一题,,18,28,,,,,,,
真的没摆烂,,20,30,,,,,,,
再WA我要哈气了,,21,31,,,,,,,
仿生Huster会梦见电子野猪吗,,22,32,,,,,,,
我不到啊，听说有学分我就来了,,25,33,,,,,,,
本队名因违规已被删除,,29,35,,,,,,,
长歌,,1（财务名额）,34,,,,,,,
,,,,西安（奖励）,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,目前名额：,西安,2,10月18~19日,,,,,
选站说明：我们将按照从高到低的位次依次确定每个队伍的选站，外卡名额将会自动按排名向后顺延。在这个规则下， 不允许在外卡名额获得后，顺位更高的队伍要求换选这个外卡名额对应的赛站。 准确的说， 我们的算法是每获取一个外卡名额，就找到顺位最靠上的没有拿到比赛名额的队伍，并把这个名额给他们。,,,成都,3,10月25~26日,,,,,
,,,武汉,5,11月1~2日,,,,,
,,,南京,3,11月8~9日,,,,,
,,,沈阳,3,11月15~16日,,,,,
,,,上海,3,11月22~23日,,,,,
,,,香港,1,11月29~30日,,,,,
,,共计,,20,,,,,,
,,,,,,,,,,
9.30 西安站截止报名， 我们将于9.27 23.59 截止选站志愿选择,,,,,,,,,,
